"","crash_number","date_time","year","day_of_week","object_1","object_2","street_name","location","Longitude","Latitude","weather","hospitals","gender","month","month_name","day","Weekday","dow","Week","Season"
"91",24774,2010-09-16,2010,"Thursday","Auto","Bicycle","Hampshire St"," Hampshire St &  Cambridge, MA",-71.1483002,42.3768005,"cloudy","1","Female",9,"Sep",16,"Thursday",5,37,"Fall"
"92",24831,2010-09-27,2010,"Monday","Motorcycle","Auto","","  &  Cambridge, MA",-71.1483002,42.3768005,"cloudy","1","Female",9,"Sep",27,"Monday",2,39,"Fall"
"93",24883,2010-10-05,2010,"Tuesday","Auto","Parked Vehicle","Central Sq"," Central Sq &  Cambridge, MA",-71.1483002,42.3768005,"cloudy","1","Female",10,"Oct",5,"Tuesday",3,40,"Fall"
"94",31817,2014-02-14,2014,"Friday","Auto","Fixed Object","Rogers St","Rogers St Cambridge, MA",-71.1483002,42.3768005,"cloudy","1","Female",2,"Feb",14,"Friday",6,7,"Winter"
"95",24941,2010-10-08,2010,"Friday","Auto","Parked Vehicle","Charles St"," Charles St &  Cambridge, MA",-71.1483002,42.3768005,"sleet,hail,freezing rain or drizzle","1","Female",10,"Oct",8,"Friday",6,41,"Fall"
"96",24933,2010-10-11,2010,"Monday","Auto","Parked Vehicle","GREEN ST"," GREEN ST & Massachusetts Ave Cambridge, MA",-71.1483002,42.3768005,"cloudy","1","Male",10,"Oct",11,"Monday",2,41,"Fall"
"97",31818,2014-02-14,2014,"Friday","Auto","Auto","MOUNT AUBURN ST","650 MOUNT AUBURN ST Cambridge, MA",-71.1483002,42.3768005,"cloudy","5","Male",2,"Feb",14,"Friday",6,7,"Winter"
"98",24937,2010-10-15,2010,"Friday","Auto","Pedestrian","Rindge Ave"," Rindge Ave &  Cambridge, MA",-71.1483002,42.3768005,"sleet,hail,freezing rain or drizzle","1","Male",10,"Oct",15,"Friday",6,42,"Fall"
"99",24957,2010-10-19,2010,"Tuesday","Auto","Parked Vehicle","MEMORIAL DR"," MEMORIAL DR &  Cambridge, MA",-71.1483002,42.3768005,"SUNNY","1","Female",10,"Oct",19,"Tuesday",3,42,"Fall"
"100",25039,2010-10-19,2010,"Sunday","Auto","Parked Vehicle","Amherst St"," Amherst St &  Cambridge, MA",-71.1483002,42.3768005,"rain","1","Female",10,"Oct",19,"Tuesday",3,42,"Fall"
"101",24959,2010-10-20,2010,"Wednesday","Auto","Fixed Object","","  &  Cambridge, MA",-71.1483002,42.3768005,"cloudy","1","Female",10,"Oct",20,"Wednesday",4,42,"Fall"
"102",24974,2010-10-21,2010,"Thursday","Auto","Parked Vehicle","Cambridgepark Dr"," Cambridgepark Dr &  Cambridge, MA",-71.1483002,42.3768005,"snow","1","Female",10,"Oct",21,"Thursday",5,42,"Fall"
"103",24986,2010-10-26,2010,"Tuesday","Auto","Auto","EVERETT ST"," EVERETT ST &  Cambridge, MA",-71.1483002,42.3768005,"SUNNY","1","Female",10,"Oct",26,"Tuesday",3,43,"Fall"
"104",25017,2010-11-01,2010,"Monday","Auto","Fixed Object","SHADY HILL RD","1 SHADY HILL RD Cambridge, MA",-71.1483002,42.3768005,"sleet,hail,freezing rain or drizzle","1","Male",11,"Nov",1,"Monday",2,44,"Fall"
"105",25037,2010-11-04,2010,"Thursday","Truck","Parked Vehicle","Cross St"," Cross St & Massachusetts Ave Cambridge, MA",-71.1483002,42.3768005,"sleet,hail,freezing rain or drizzle","1","Male",11,"Nov",4,"Thursday",5,44,"Fall"
"106",25063,2010-11-12,2010,"Friday","Auto","Auto","FRESH POND PKY"," FRESH POND PKY &  Cambridge, MA",-71.1483002,42.3768005,"SUNNY","1","Female",11,"Nov",12,"Friday",6,46,"Fall"
"107",25064,2010-11-12,2010,"Friday","Auto","Parked Vehicle","Porter Sq"," Porter Sq &  Cambridge, MA",-71.1483002,42.3768005,"snow","1","Male",11,"Nov",12,"Friday",6,46,"Fall"
"108",25070,2010-11-13,2010,"Saturday","Auto","Auto","Coolidge Ave"," Coolidge Ave & Cambridge Ctr Cambridge, MA",-71.1483002,42.3768005,"SUNNY","1","Male",11,"Nov",13,"Saturday",7,46,"Fall"
"109",25092,2010-11-19,2010,"Saturday","Auto","Auto","Cambridge St"," Cambridge St &  Cambridge, MA",-71.1483002,42.3768005,"snow","6","Male",11,"Nov",19,"Friday",6,47,"Fall"
"110",25172,2010-12-01,2010,"Wednesday","Auto","Parked Vehicle","Columbia St"," Columbia St &  Cambridge, MA",-71.1483002,42.3768005,"cloudy","1","Female",12,"Dec",1,"Wednesday",4,48,"Winter"
"111",30680,2012-04-29,2012,"Sunday","Auto","Auto","HURON AVE"," HURON AVE & GROVE AVE Cambridge, MA",-71.1483002,42.3768005,"snow","1","Female",4,"Apr",29,"Sunday",1,18,"Spring"
"112",25185,2010-12-09,2010,"Thursday","Auto","Parked Vehicle","Cambridgeside Pl"," Cambridgeside Pl &  Cambridge, MA",-71.1483002,42.3768005,"SUNNY","1","Female",12,"Dec",9,"Thursday",5,49,"Winter"
"113",25750,2010-12-10,2010,"Friday","Auto","Parked Vehicle","","  &  Cambridge, MA",-71.1483002,42.3768005,"rain","1","Female",12,"Dec",10,"Friday",6,50,"Winter"
"114",32863,2014-10-23,2014,"Thursday","Auto","Parked Vehicle","FIRST ST","FIRST ST Cambridge, MA",-71.1483002,42.3768005,"snow","1","Female",10,"Oct",23,"Thursday",5,43,"Fall"
"115",25242,2010-12-24,2010,"","Auto","Pedestrian","PEARL ST"," PEARL ST &  Cambridge, MA",-71.1483002,42.3768005,"clear","1","Male",12,"Dec",24,"Friday",6,52,"Winter"
"116",25262,2010-12-30,2010,"Thursday","Auto","Auto","White St"," White St &  Cambridge, MA",-71.1483002,42.3768005,"cloudy","1","Female",12,"Dec",30,"Thursday",5,52,"Winter"
"117",25267,2011-01-01,2011,"Saturday","Auto","Parked Vehicle","Franklin St"," Franklin St &  Cambridge, MA",-71.1483002,42.3768005,"SUNNY","1","Female",1,"Jan",1,"Saturday",7,1,"Winter"
"118",25272,2011-01-01,2011,"Sunday","Auto","Parked Vehicle","Brattle St"," Brattle St &  Cambridge, MA",-71.1483002,42.3768005,"sleet,hail,freezing rain or drizzle","1","Male",1,"Jan",1,"Saturday",7,1,"Winter"
"119",25401,2011-01-01,2011,"Tuesday","Bus (Other)","Parked Vehicle","DUNSTER ST"," DUNSTER ST &  Cambridge, MA",-71.1483002,42.3768005,"SUNNY","1","Male",1,"Jan",1,"Saturday",7,1,"Winter"
"120",25501,2011-02-05,2011,"Saturday","Auto","Parked Vehicle","Bent St"," Bent St &  Cambridge, MA",-71.1483002,42.3768005,"sleet,hail,freezing rain or drizzle","1","Female",2,"Feb",5,"Saturday",7,6,"Winter"
"121",1500000352,2015-02-24,2015,"Tuesday","OTHER","PASSENGER CAR","THRID STREET","202 THRID STREET",-71.1483002,42.3768005,"SUNNY","1","Male",2,"Feb",24,"Tuesday",3,8,"Winter"
"122",25345,2011-01-16,2011,"Sunday","Bus (Other)","Parked Vehicle","DUNSTER ST"," DUNSTER ST &  Cambridge, MA",-71.1483002,42.3768005,"cloudy","1","Male",1,"Jan",16,"Sunday",1,3,"Winter"
"123",25362,2011-01-18,2011,"Tuesday","Auto","Parked Vehicle","Avon Hill St"," Avon Hill St &  Cambridge, MA",-71.1483002,42.3768005,"cloudy","1","Male",1,"Jan",18,"Tuesday",3,3,"Winter"
"124",25375,2011-01-18,2011,"Tuesday","Truck","Bicycle","JFK St"," JFK St &  Cambridge, MA",-71.1483002,42.3768005,"SUNNY","1","Male",1,"Jan",18,"Tuesday",3,3,"Winter"
"125",25371,2011-01-19,2011,"Wednesday","Auto","Auto","GARDEN ST"," GARDEN ST &  Cambridge, MA",-71.1483002,42.3768005,"SUNNY","1","Female",1,"Jan",19,"Wednesday",4,3,"Winter"
