Crash Number,Date Time,Year,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Weather,Hospitals,Gender
30386,2/10/2012,2012,Friday,Auto,Auto,,Cambridge St,FAYETTE ST," Cambridge St & FAYETTE ST Cambridge, MA",42.373893,-71.102107,clear,6,2
30387,2/10/2012,2012,Friday,Auto,Auto,,FIRST ST,SPRING ST," FIRST ST & SPRING ST Cambridge, MA",42.368584,-71.077405,cloudy,7,1
30392,2/10/2012,2012,Friday,Auto,Parked Vehicle,,Western Ave,SODEN ST," Western Ave & SODEN ST Cambridge, MA",42.364978,-71.108124,SUNNY,7,1
30409,2/10/2012,2012,Friday,Auto,Parked Vehicle,29,Vineyard St,,"29 Vineyard St Cambridge, MA",42.378962,-71.153474,cloudy,7,1
30388,2/11/2012,2012,Saturday,Auto,Auto,,Broadway,Tremont St," Broadway & Tremont St Cambridge, MA",42.368894,-71.099952,SUNNY,7,2
30389,2/11/2012,2012,Saturday,Auto,Auto,1955,Massachusetts Ave,,"1955 Massachusetts Ave Cambridge, MA",42.389895,-71.120256,rain,7,1
30390,2/12/2012,2012,Sunday,Auto,Taxi,353,Massachusetts Ave,,"353 Massachusetts Ave Cambridge, MA",42.3629,-71.0992,clear,7,2
30393,2/12/2012,2012,Sunday,Auto,Parked Vehicle,,Massachusetts Ave,Sidney St," Massachusetts Ave & Sidney St Cambridge, MA",42.36295,-71.09958,SUNNY,7,2
30394,2/13/2012,2012,Monday,Auto,Parked Vehicle,,Massachusetts Ave,MARTIN ST," Massachusetts Ave & MARTIN ST Cambridge, MA",42.383347,-71.119561,cloudy,7,2
30395,2/13/2012,2012,Monday,Auto,Auto,,Western Ave,HOWARD ST," Western Ave & HOWARD ST Cambridge, MA",42.364749,-71.110774,SUNNY,7,2
30396,2/13/2012,2012,Monday,Auto,Pedestrian,,Cambridge St,FIRST ST," Cambridge St & FIRST ST Cambridge, MA",42.370636,-71.076934,SUNNY,6,2
30397,2/13/2012,2012,Monday,Auto,Auto,,Broadway,Portland St," Broadway & Portland St Cambridge, MA",42.365792,-71.09207,SUNNY,7,2
30398,2/13/2012,2012,Monday,Auto,Auto,49,Porter Sq,White St,"49 Porter Sq Cambridge, MA",42.389295,-71.121351,cloudy,7,2
30503,2/13/2012,2012,Monday,Auto,Parked Vehicle,,Massachusetts Ave,MARTIN ST," Massachusetts Ave & MARTIN ST Cambridge, MA",42.383347,-71.119561,cloudy,7,2
30399,2/15/2012,2012,Wednesday,Auto,Auto,,MOUNT AUBURN ST,Coolidge Ave," MOUNT AUBURN ST & Coolidge Ave Cambridge, MA",42.37494,-71.139721,cloudy,5,1
30400,2/15/2012,2012,Wednesday,Auto,Parked Vehicle,4,Upland Rd,,"4 Upland Rd Cambridge, MA",42.388144,-71.119664,SUNNY,7,2
30401,2/15/2012,2012,Wednesday,Auto,Auto,,Massachusetts Ave,Temple St," Massachusetts Ave & Temple St Cambridge, MA",42.365973,-71.104675,cloudy,7,1
30402,2/15/2012,2012,Wednesday,Auto,Fixed Object,,Broadway,FELTON ST," Broadway & FELTON ST Cambridge, MA",42.373967,-71.11278,"sleet,hail,freezing rain or drizzle",7,1
30403,2/15/2012,2012,Wednesday,Auto,Pedestrian,151,Washington Ave,,"151 Washington Ave Cambridge, MA",42.364781,-71.095639,"sleet,hail,freezing rain or drizzle",7,2
30404,2/15/2012,2012,Wednesday,Auto,Parked Vehicle,4,Upland Rd,,"4 Upland Rd Cambridge, MA",42.388144,-71.119664,SUNNY,7,2
30408,2/16/2012,2012,Thursday,Auto,Pedestrian,,Cambridge St,Windsor St," Cambridge St & Windsor St Cambridge, MA",42.37275,-71.093288,clear,6,1
30410,2/17/2012,2012,Friday,Truck,Auto,,Massachusetts Ave,GLADSTONE ST," Massachusetts Ave & GLADSTONE ST Cambridge, MA",42.40053,-71.135127,snow,7,1
30411,2/17/2012,2012,Friday,Auto,Bicycle,2274,Massachusetts Ave,,"2274 Massachusetts Ave Cambridge, MA",42.368925,-71.110257,SUNNY,7,1
30413,2/17/2012,2012,Friday,Auto,Pedestrian,13,Tremont St,,"13 Tremont St Cambridge, MA",42.369516,-71.099659,cloudy,7,2
30414,2/17/2012,2012,Friday,Auto,Auto,100,Cambridgeside Pl,,"100 Cambridgeside Pl Cambridge, MA",42.369137,-71.077148,snow,7,2
30415,2/18/2012,2012,Saturday,Auto,Parked Vehicle,1,MOUNT AUBURN ST,,"1 MOUNT AUBURN ST Cambridge, MA",42.369842,-71.112582,rain,5,2
30416,2/18/2012,2012,Saturday,Auto,Auto,,PROSPECT ST,HARVARD ST," PROSPECT ST & HARVARD ST Cambridge, MA",42.368301,-71.101743,"sleet,hail,freezing rain or drizzle",7,2
30417,2/18/2012,2012,Saturday,Auto,Auto,,Franklin St,MAGAZINE ST," Franklin St & MAGAZINE ST Cambridge, MA",42.364498,-71.105151,cloudy,7,1
30419,2/18/2012,2012,Saturday,Auto,Parked Vehicle,58,FIFTH ST,,"58 FIFTH ST Cambridge, MA",42.371217,-71.083088,cloudy,7,1
30420,2/18/2012,2012,Saturday,Auto,Parked Vehicle,123,Clifton St,,"123 Clifton St Cambridge, MA",42.397221,-71.136245,SUNNY,7,1
30605,2/18/2012,2012,,Auto,Pedestrian,,MOUNT AUBURN ST,Sparks St," MOUNT AUBURN ST & Sparks St Cambridge, MA",42.3747,-71.130587,SUNNY,5,2
30797,2/18/2012,2012,Saturday,Auto,Pedestrian,,MOUNT AUBURN ST,Sparks St," MOUNT AUBURN ST & Sparks St Cambridge, MA",42.3747,-71.130587,snow,5,1
30418,2/19/2012,2012,Sunday,Auto,Auto,186,Alewife Brook Pky,,"186 Alewife Brook Pky Cambridge, MA",42.391032,-71.14135,"sleet,hail,freezing rain or drizzle",7,2
30421,2/19/2012,2012,Sunday,Auto,Pedestrian,,Massachusetts Ave,Trowbridge St," Massachusetts Ave & Trowbridge St Cambridge, MA",42.370095,-71.112929,cloudy,7,1
30429,2/20/2012,2012,Monday,Auto,Parked Vehicle,21,Water St,,"21 Water St Cambridge, MA",42.372423,-71.077801,cloudy,7,2
30424,2/20/2012,2012,Monday,Auto,Auto,,PACIFIC ST,Sidney St," PACIFIC ST & Sidney St Cambridge, MA",42.36036,-71.102479,rain,7,1
30430,2/21/2012,2012,Tuesday,Van,Auto,,MOUNT AUBURN ST,Aberdeen Way," MOUNT AUBURN ST & Aberdeen Way Cambridge, MA",42.375274,-71.145841,"sleet,hail,freezing rain or drizzle",5,2
30432,2/21/2012,2012,Tuesday,Auto,Parked Vehicle,,Massachusetts Ave,PROSPECT ST," Massachusetts Ave & PROSPECT ST Cambridge, MA",42.365574,-71.103991,SUNNY,7,2
30422,2/21/2012,2012,Tuesday,Auto,Auto,,MAGAZINE ST,Auburn St," MAGAZINE ST & Auburn St Cambridge, MA",42.363987,-71.105712,"sleet,hail,freezing rain or drizzle",7,2
30423,2/21/2012,2012,Tuesday,Auto,Parked Vehicle,140,HARVARD ST,,"140 HARVARD ST Cambridge, MA",42.36519,-71.094702,cloudy,7,2
30426,2/22/2012,2012,Wednesday,Auto,Bicycle,,Broadway,Amory St," Broadway & Amory St Cambridge, MA",42.369702,-71.102,cloudy,7,2
30427,2/22/2012,2012,Wednesday,Auto,Auto,,Cambridge St,FAYETTE ST," Cambridge St & FAYETTE ST Cambridge, MA",42.373893,-71.102107,snow,6,2
30428,2/22/2012,2012,Wednesday,Auto,Pedestrian,,Cambridge St,ELLERY ST," Cambridge St & ELLERY ST Cambridge, MA",42.374698,-71.108336,clear,6,2
30433,2/22/2012,2012,Wednesday,Auto,Parked Vehicle,89,ELM ST,,"89 ELM ST Cambridge, MA",42.369429,-71.097623,cloudy,7,1
30434,2/22/2012,2012,Wednesday,Auto,Parked Vehicle,1,HANCOCK PARK,,"1 HANCOCK PARK Cambridge, MA",42.370614,-71.106499,cloudy,7,2
30425,2/22/2012,2012,Wednesday,Auto,Auto,,Massachusetts Ave,Blake St," Massachusetts Ave & Blake St Cambridge, MA",42.390918,-71.122259,cloudy,7,1
30431,2/23/2012,2012,Thursday,Auto,Bicycle,,Western Ave,Putnam Ave," Western Ave & Putnam Ave Cambridge, MA",42.364484,-71.113893,snow,7,1
30435,2/23/2012,2012,Thursday,Auto,Pedestrian,125,Vassar St,,"125 Vassar St Cambridge, MA",42.359251,-71.096935,"sleet,hail,freezing rain or drizzle",7,2
30436,2/23/2012,2012,Thursday,Auto,Auto,,PLEASANT ST,Franklin St," PLEASANT ST & Franklin St Cambridge, MA",42.365378,-71.106612,cloudy,7,2
30437,2/23/2012,2012,Thursday,Auto,Fixed Object,777,Concord Ave,,"777 Concord Ave Cambridge, MA",42.390877,-71.155012,"sleet,hail,freezing rain or drizzle",7,1
30438,2/23/2012,2012,Thursday,Auto,Bicycle,,DAVENPORT ST,Massachusetts Ave," DAVENPORT ST & Massachusetts Ave Cambridge, MA",42.389419,-71.120032,cloudy,7,1
30439,2/23/2012,2012,Thursday,Auto,Auto,,Sidney St,ERIE ST," Sidney St & ERIE ST Cambridge, MA",42.358377,-71.104875,cloudy,7,2
30540,2/23/2012,2012,Friday,Auto,Auto,,FAWCETT ST,Concord Ave," FAWCETT ST & Concord Ave Cambridge, MA",42.389156,-71.145993,cloudy,7,2
30441,2/24/2012,2012,Friday,Auto,Fixed Object,144,MOUNT AUBURN ST,,"144 MOUNT AUBURN ST Cambridge, MA",42.373914,-71.124741,"sleet,hail,freezing rain or drizzle",5,1
30442,2/24/2012,2012,Friday,Auto,Parked Vehicle,100,Cambridgeside Pl,,"100 Cambridgeside Pl Cambridge, MA",42.369137,-71.077148,SUNNY,7,1
30443,2/24/2012,2012,Friday,Auto,Pedestrian,615,Concord Ave,,"615 Concord Ave Cambridge, MA",42.389046,-71.14482,SUNNY,7,1
30444,2/24/2012,2012,Friday,Auto,Parked Vehicle,,Broadway,Galileo Galilei Way," Broadway & Galileo Galilei Way Cambridge, MA",42.364812,-71.089386,cloudy,7,1
30582,2/24/2012,2012,Monday,Auto,Auto,,GARDEN ST,Massachusetts Ave," GARDEN ST & Massachusetts Ave Cambridge, MA",42.375487,-71.11992,snow,7,1
30445,2/25/2012,2012,Saturday,Auto,Parked Vehicle,1,Porter Cir,,"1 Porter Cir Cambridge, MA",42.389782,-71.121581,cloudy,7,1
30447,2/26/2012,2012,Sunday,Auto,Parked Vehicle,41,PRENTISS ST,,"41 PRENTISS ST Cambridge, MA",42.38449,-71.116794,"sleet,hail,freezing rain or drizzle",7,2
30448,2/27/2012,2012,Monday,Auto,Parked Vehicle,,MONTGOMERY ST,DUDLEY ST," MONTGOMERY ST & DUDLEY ST Cambridge, MA",42.395745,-71.133192,cloudy,7,1
30581,2/27/2012,2012,Monday,Auto,Auto,,MOUNT AUBURN ST,HOMER AVE," MOUNT AUBURN ST & HOMER AVE Cambridge, MA",42.374967,-71.148015,cloudy,5,1
30454,2/28/2012,2012,Tuesday,Auto,Bicycle,,Massachusetts Ave,Walden St," Massachusetts Ave & Walden St Cambridge, MA",42.391373,-71.123272,cloudy,7,2
30455,2/28/2012,2012,Tuesday,Auto,Truck,,Cambridge St,ROBERTS RD," Cambridge St & ROBERTS RD Cambridge, MA",42.37476,-71.108824,rain,6,2
30456,2/28/2012,2012,Wednesday,Auto,Fixed Object,,Third St,MUNROE ST," Third St & MUNROE ST Cambridge, MA",42.365089,-71.082769,clear,7,2
30457,2/28/2012,2012,Tuesday,Auto,Parked Vehicle,771,Cambridge St,,"771 Cambridge St Cambridge, MA",42.372364,-71.08954,"sleet,hail,freezing rain or drizzle",6,2
30458,2/28/2012,2012,Tuesday,Auto,Taxi,,Hampshire St,Tremont St," Hampshire St & Tremont St Cambridge, MA",42.371501,-71.098121,"sleet,hail,freezing rain or drizzle",7,1
30459,2/28/2012,2012,Tuesday,Bus (Other),Bicycle,,Broadway,Hampshire St," Broadway & Hampshire St Cambridge, MA",42.365435,-71.091112,clear,7,1
30474,2/28/2012,2012,,Auto,Parked Vehicle,2480,Massachusetts Ave,,"2480 Massachusetts Ave Cambridge, MA",42.398654,-71.132024,snow,7,2
30449,2/29/2012,2012,Wednesday,Auto,Bus (Other),,MOUNT AUBURN ST,Aberdeen Way," MOUNT AUBURN ST & Aberdeen Way Cambridge, MA",42.375274,-71.145841,"sleet,hail,freezing rain or drizzle",5,2
30450,2/29/2012,2012,Wednesday,Auto,Auto,,Bishop Allen Dr,MAIN ST," Bishop Allen Dr & MAIN ST Cambridge, MA",42.363333,-71.098364,cloudy,7,1
30451,2/29/2012,2012,Wednesday,Auto,Auto,,Cambridge St,Hampshire St," Cambridge St & Hampshire St Cambridge, MA",42.373729,-71.100837,cloudy,6,1
30452,2/29/2012,2012,Wednesday,Auto,Fixed Object,,PACIFIC ST,Landsdowne St," PACIFIC ST & Landsdowne St Cambridge, MA",42.359917,-71.101728,clear,7,1
30453,2/29/2012,2012,Wednesday,Auto,Bicycle,,ELM ST,Broadway," ELM ST & Broadway Cambridge, MA",42.368203,-71.098201,snow,7,2
30460,3/1/2012,2012,Thursday,Auto,Fixed Object,168,Alewife Brook Pky,,"168 Alewife Brook Pky Cambridge, MA",42.393209,-71.14065,SUNNY,7,2
30461,3/1/2012,2012,Thursday,Auto,Taxi,,Cambridge St,FIRST ST," Cambridge St & FIRST ST Cambridge, MA",42.370636,-71.076934,cloudy,6,2
30462,3/1/2012,2012,Thursday,Auto,Fixed Object,319,Concord Ave,,"319 Concord Ave Cambridge, MA",42.384339,-71.134914,"sleet,hail,freezing rain or drizzle",7,1
30463,3/1/2012,2012,Thursday,Truck,Auto,,SHERMAN ST,Walden Mews," SHERMAN ST & Walden Mews Cambridge, MA",42.386165,-71.130977,SUNNY,7,1
30464,3/1/2012,2012,Thursday,Truck,Fixed Object,40,Rindge Ave,,"40 Rindge Ave Cambridge, MA",42.392428,-71.126691,clear,7,1
30465,3/1/2012,2012,Thursday,Auto,Auto,,Albany St,Massachusetts Ave," Albany St & Massachusetts Ave Cambridge, MA",42.360828,-71.096012,cloudy,7,1
30557,3/1/2012,2012,Thursday,Auto,Parked Vehicle,91,SHERMAN ST,,"91 SHERMAN ST Cambridge, MA",42.388515,-71.132696,clear,7,1
30466,3/2/2012,2012,Friday,Auto,Auto,,HARVARD ST,HANCOCK PARK," HARVARD ST & HANCOCK PARK Cambridge, MA",42.37005,-71.10689,snow,7,1
30467,3/2/2012,2012,Friday,Auto,Auto,,Cambridgepark Dr,Alewife Brook Pky," Cambridgepark Dr & Alewife Brook Pky Cambridge, MA",42.394653,-71.140526,cloudy,7,2
30468,3/3/2012,2012,Saturday,Auto,Auto,4,University Pl,,"4 University Pl Cambridge, MA",42.373084,-71.122911,cloudy,7,2
30469,3/3/2012,2012,Saturday,Auto,Auto,,JFK St,MEMORIAL DR," JFK St & MEMORIAL DR Cambridge, MA",42.369792,-71.122448,SUNNY,7,1
30470,3/3/2012,2012,Saturday,Taxi,Parked Vehicle,,Massachusetts Ave,Vassar St," Massachusetts Ave & Vassar St Cambridge, MA",42.360154,-71.094882,cloudy,7,1
30471,3/4/2012,2012,Sunday,Auto,Taxi,,Bent St,FULKERSON ST," Bent St & FULKERSON ST Cambridge, MA",42.367837,-71.087887,SUNNY,7,1
30472,3/4/2012,2012,Sunday,Auto,Auto,781,MAIN ST,Newtowne Ct,"781 MAIN ST Cambridge, MA",42.363316,-71.096838,SUNNY,7,2
30473,3/4/2012,2012,Sunday,Auto,Auto,14,PLYMOUTH ST,,"14 PLYMOUTH ST Cambridge, MA",42.368516,-71.091281,cloudy,7,2
30476,3/4/2012,2012,Sunday,Truck,Auto,,Massachusetts Ave,Blake St," Massachusetts Ave & Blake St Cambridge, MA",42.390918,-71.122259,cloudy,7,2
30477,3/4/2012,2012,Sunday,Auto,Auto,,Hampshire St,Norfolk St," Hampshire St & Norfolk St Cambridge, MA",42.371015,-71.09753,"sleet,hail,freezing rain or drizzle",7,1
30478,3/4/2012,2012,Sunday,Auto,Fixed Object,0,GARDEN ST,,"0 GARDEN ST Cambridge, MA",42.37543,-71.120458,snow,7,1
